cell_id,image_id,label_value,label_code,label_name,label_source_type,label_source_id,label_confidence,level,sample_id,bull_id
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c000,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c001,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c002,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c003,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c004,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c005,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c006,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c007,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c008,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c_c009,MIT_CERTO_01-Editado-1-_jpg.rf.7b6b8e25fcd10547efa4492003df926c,mitocondria,1,morphology_class,synthetic,synthetic_generator,synthetic,cell,,
