class_idx,class_name,cx,cy,w,h,x_min,y_min,x_max,y_max,image_file,image_id,source,label_confidence
0,normal,0.90859375,0.26875,0.0921875,0.05625,552,154,611,190,syn_00000.jpg,syn_00000,synthetic,synthetic
1,abnormal_head,0.3609375,0.775,0.05,0.078125,215,471,247,521,syn_00000.jpg,syn_00000,synthetic,synthetic
1,abnormal_head,0.68359375,0.74375,0.0765625,0.1125,413,440,462,512,syn_00000.jpg,syn_00000,synthetic,synthetic
0,normal,0.46640625,0.8578125,0.1015625,0.075,266,525,331,573,syn_00000.jpg,syn_00000,synthetic,synthetic
1,abnormal_head,0.90390625,0.7625,0.1109375,0.09375,543,458,614,518,syn_00000.jpg,syn_00000,synthetic,synthetic
4,cytoplasmic_droplet,0.196875,0.1125,0.146875,0.075,79,48,173,96,syn_00000.jpg,syn_00000,synthetic,synthetic
0,normal,0.69921875,0.81640625,0.0671875,0.1078125,426,488,469,557,syn_00000.jpg,syn_00000,synthetic,synthetic
3,abnormal_tail,0.79609375,0.478125,0.0734375,0.06875,486,284,533,328,syn_00000.jpg,syn_00000,synthetic,synthetic
2,abnormal_midpiece,0.43203125,0.85703125,0.0484375,0.0859375,261,521,292,576,syn_00000.jpg,syn_00000,synthetic,synthetic
1,abnormal_head,0.853125,0.31171875,0.078125,0.1140625,521,163,571,236,syn_00001.jpg,syn_00001,synthetic,synthetic
0,normal,0.571875,0.3671875,0.0375,0.10625,354,201,378,269,syn_00001.jpg,syn_00001,synthetic,synthetic
0,normal,0.1484375,0.2890625,0.109375,0.0625,60,165,130,205,syn_00001.jpg,syn_00001,synthetic,synthetic
0,normal,0.1390625,0.29921875,0.0625,0.1359375,69,148,109,235,syn_00001.jpg,syn_00001,synthetic,synthetic
5,other_abnormal,0.93203125,0.8671875,0.0734375,0.08125,573,529,620,581,syn_00001.jpg,syn_00001,synthetic,synthetic
2,abnormal_midpiece,0.525,0.53828125,0.11875,0.0796875,298,319,374,370,syn_00001.jpg,syn_00001,synthetic,synthetic
0,normal,0.8828125,0.1390625,0.06875,0.115625,543,52,587,126,syn_00001.jpg,syn_00001,synthetic,synthetic
2,abnormal_midpiece,0.53984375,0.8703125,0.0859375,0.04375,318,543,373,571,syn_00001.jpg,syn_00001,synthetic,synthetic
3,abnormal_tail,0.7265625,0.53984375,0.065625,0.0671875,444,324,486,367,syn_00001.jpg,syn_00001,synthetic,synthetic
5,other_abnormal,0.54765625,0.165625,0.0609375,0.1,331,74,370,138,syn_00002.jpg,syn_00002,synthetic,synthetic
2,abnormal_midpiece,0.4359375,0.2515625,0.05,0.15,263,113,295,209,syn_00002.jpg,syn_00002,synthetic,synthetic
4,cytoplasmic_droplet,0.47890625,0.76875,0.0515625,0.11875,290,454,323,530,syn_00002.jpg,syn_00002,synthetic,synthetic
5,other_abnormal,0.07890625,0.64375,0.0890625,0.11875,22,374,79,450,syn_00002.jpg,syn_00002,synthetic,synthetic
1,abnormal_head,0.07421875,0.5046875,0.1140625,0.059375,11,304,84,342,syn_00002.jpg,syn_00002,synthetic,synthetic
3,abnormal_tail,0.753125,0.4765625,0.05,0.065625,466,284,498,326,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.77421875,0.534375,0.0515625,0.10625,479,308,512,376,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.8265625,0.56953125,0.08125,0.0703125,503,342,555,387,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.84921875,0.55078125,0.0828125,0.1078125,517,318,570,387,syn_00002.jpg,syn_00002,synthetic,synthetic
1,abnormal_head,0.19375,0.5703125,0.1375,0.059375,80,346,168,384,syn_00002.jpg,syn_00002,synthetic,synthetic
1,abnormal_head,0.89609375,0.58125,0.0921875,0.096875,544,341,603,403,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.7359375,0.5234375,0.053125,0.103125,454,302,488,368,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.521875,0.75546875,0.040625,0.0921875,321,454,347,513,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.43203125,0.2046875,0.0296875,0.121875,267,92,286,170,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.32109375,0.1734375,0.1015625,0.0375,173,99,238,123,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.06953125,0.5125,0.1296875,0.059375,3,309,86,347,syn_00002.jpg,syn_00002,synthetic,synthetic
4,cytoplasmic_droplet,0.95234375,0.52109375,0.0796875,0.1578125,584,283,635,384,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.8546875,0.66171875,0.028125,0.1328125,538,381,556,466,syn_00002.jpg,syn_00002,synthetic,synthetic
0,normal,0.91171875,0.74140625,0.0359375,0.1578125,572,424,595,525,syn_00003.jpg,syn_00003,synthetic,synthetic
3,abnormal_tail,0.76171875,0.85390625,0.0640625,0.0671875,467,525,508,568,syn_00003.jpg,syn_00003,synthetic,synthetic
0,normal,0.63125,0.88046875,0.0875,0.0703125,376,541,432,586,syn_00003.jpg,syn_00003,synthetic,synthetic
0,normal,0.74765625,0.86796875,0.0734375,0.0609375,455,536,502,575,syn_00003.jpg,syn_00003,synthetic,synthetic
4,cytoplasmic_droplet,0.096875,0.90859375,0.078125,0.0984375,37,550,87,613,syn_00003.jpg,syn_00003,synthetic,synthetic
0,normal,0.29609375,0.5796875,0.1296875,0.075,148,347,231,395,syn_00003.jpg,syn_00003,synthetic,synthetic
2,abnormal_midpiece,0.50234375,0.5421875,0.0765625,0.09375,297,317,346,377,syn_00003.jpg,syn_00003,synthetic,synthetic
0,normal,0.3359375,0.79140625,0.05,0.1015625,199,474,231,539,syn_00003.jpg,syn_00003,synthetic,synthetic
5,other_abnormal,0.396875,0.58984375,0.13125,0.1046875,212,344,296,411,syn_00003.jpg,syn_00003,synthetic,synthetic
2,abnormal_midpiece,0.321875,0.69296875,0.0625,0.0921875,186,414,226,473,syn_00003.jpg,syn_00003,synthetic,synthetic
4,cytoplasmic_droplet,0.3359375,0.3765625,0.046875,0.165625,200,188,230,294,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.40703125,0.31796875,0.0546875,0.0765625,243,179,278,228,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.61328125,0.65,0.0921875,0.090625,363,387,422,445,syn_00004.jpg,syn_00004,synthetic,synthetic
1,abnormal_head,0.596875,0.584375,0.075,0.109375,358,339,406,409,syn_00004.jpg,syn_00004,synthetic,synthetic
5,other_abnormal,0.2078125,0.2703125,0.040625,0.121875,120,134,146,212,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.7921875,0.88671875,0.075,0.0859375,483,540,531,595,syn_00004.jpg,syn_00004,synthetic,synthetic
4,cytoplasmic_droplet,0.7671875,0.70703125,0.053125,0.0796875,474,427,508,478,syn_00004.jpg,syn_00004,synthetic,synthetic
4,cytoplasmic_droplet,0.92109375,0.765625,0.1421875,0.09375,544,460,635,520,syn_00004.jpg,syn_00004,synthetic,synthetic
3,abnormal_tail,0.7140625,0.5890625,0.071875,0.065625,434,356,480,398,syn_00004.jpg,syn_00004,synthetic,synthetic
5,other_abnormal,0.41171875,0.84765625,0.0796875,0.0890625,238,514,289,571,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.63046875,0.6625,0.0703125,0.065625,381,403,426,445,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.16640625,0.07265625,0.0703125,0.0890625,84,18,129,75,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.8421875,0.33515625,0.053125,0.0828125,522,188,556,241,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.1875,0.625,0.103125,0.075,87,376,153,424,syn_00004.jpg,syn_00004,synthetic,synthetic
1,abnormal_head,0.0921875,0.265625,0.128125,0.05625,18,152,100,188,syn_00004.jpg,syn_00004,synthetic,synthetic
2,abnormal_midpiece,0.51328125,0.82890625,0.1046875,0.0609375,295,511,362,550,syn_00004.jpg,syn_00004,synthetic,synthetic
3,abnormal_tail,0.5875,0.5109375,0.065625,0.08125,355,301,397,353,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.93203125,0.54296875,0.0671875,0.0640625,575,327,618,368,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.8671875,0.31875,0.103125,0.0875,522,176,588,232,syn_00004.jpg,syn_00004,synthetic,synthetic
3,abnormal_tail,0.5421875,0.3265625,0.0875,0.0625,319,189,375,229,syn_00004.jpg,syn_00004,synthetic,synthetic
5,other_abnormal,0.30625,0.37421875,0.103125,0.0453125,163,225,229,254,syn_00004.jpg,syn_00004,synthetic,synthetic
